"Totals, Female: Cumulative GPA (Tot. F)","Totals, Male: Cumulative GPA (Tot. M)"
3.42,3.43
3.42,3.43
3.43,3.43
3.65,3.44
3.4,3.41
3.27,3.18
3.21,3.1
3.18,3.07
3.13,3.05
3.03,3.01
3.09,2.96
3.03,2.94
2.98,2.98
2.99,2.93
2.93,3
3.08,3
3.03,3.03
3.28,3.13
3.31,3.27
2.72,2.85
2.69,2.81
2.8,2.71
2.66,2.71
2.73,2.88
2.96,2.92
2.93,2.94
2.93,2.93
2.95,2.91
2.96,2.99
2.97,3.04
3.03,3.02
3.01,3
3.03,3.08
3.03,3.06
3.03,3.03
3.07,3.06
3.18,3.12
3.27,3.05
3.08,2.87
3.12,2.89
2.89,2.9
3.08,2.95
3.03,2.81
3.1,2.89
2.8,2.9
3.08,2.94
3.43,3.49
2.89,2.87
2.64,2.93
2.58,2.29
2.36,2.37
2.47,2.49
2.49,2.45
2.56,2.52
2.68,2.53
2.88,2.87
3.01,2.9
3.02,2.94
2.75,2.71
3.14,3.07
3.04,2.01
3.04,3.02
3.01,2.95
2.67,2.93
2.89,2.98
3.19,2.88
2.85,2.88
3.04,2.9
3.21,2.88
2.38,2.99
2.79,2.59
2.85,2.7
3.07,2.88
3.13,2.15
1.75,2.9
3.07,2.63
2.5,2.3
3.11,2.95
3.15,2.96
3.06,2.92
2.98,2.92
3.07,2.95
3.21,2.9
3.27,2.9
3.1,2.88
3.04,2.2
2.58,2.21
3.24,3.02
2.93,2.79
2.86,2.7
2.99,2.75
2.93,2.77
3.16,2.73
3,3
3.1,3
3.34,3.15
3.13,3.16
3.26,2.98
2.8,3
3.7,2.7
3.81,3.06
3.35,3
3.08,2.97
3.16,2.98
3.09,2.97
3.16,2.97
3.15,3.03
3.29,3.52
3.39,3.32
3.38,3.52
3.54,3.54
3.55,3.43
3.2,3.13
3.1,3.11
2.96,2.95
3.28,3.08
3.34,3.28
3.43,2.98
3.44,3.06
3.22,3.11
3.32,3.22
3.21,3.21
3.31,2.93
3.15,3
3.98,2.88
2.91,2.94
3.2,3.16
2.46,3.19
3.33,3.32
3.28,3.16
3.16,3.01
3.26,3.08
3.16,2.84
3,2.94
2.8,2.5
2.9,2.6
3.2,2.8
2.9,2.83
2.79,2.79
2.91,2.8
3.09,2.86
3.35,3.35
3.52,3.37
3.21,3.17
3.29,3.24
3.27,3.22
3.3,3.08
3.22,3.05
3.44,3.15
3.39,3
3.32,3.04
3.05,2.91
3.2,2.85
2.94,2.89
3.46,2.82
3.1,2.9
3.11,2.93
3.01,2.91
2.92,2.89
3,2.84
2.8,2.81
2.81,2.75
2.92,2.79
2.95,2.83
3.04,2.51
3.2,3.1
3.2,3.1
3.3,3.1
3.3,3.1
2.7,2.5
2.7,2.5
3.18,3.03
3.22,2.99
3.34,2.99
3.13,2.96
3.26,2.95
3.27,2.99
3.03,2.52
2.87,2.84
2.48,2.64
3.29,2.87
2.89,2.8
3.1,2.82
3.16,2.92
3.17,2.81
3.14,2.82
3.4,3.2
3.05,3
3.17,2.93
3.25,2.9
3.26,2.88
3.29,2.84
2.8,2.8
2.75,2.72
2.94,2.79
2.84,2.77
2.86,2.83
3.35,3.38
3.38,3.42
2.5,2.6
2.5,2.5
2.75,2.5
3,2.9
3,3
3,2.95
2.88,2.98
3.06,3.07
3.02,2.92
2.98,2.98
3.03,2.99
3.15,3.03
3.23,3.04
3.2,3.07
3.15,3.06
3.25,3.08
3.21,3.01
3.11,2.87
3.1,2.94
3.13,2.98
3.13,3
3.24,3.13
3,2.99
2.93,3.01
2.96,3.1
3.31,3.47
3.36,3.44
3.28,3.13
3.4,3.4
3.38,3.44
3.07,3.05
3.13,3.02
3.23,3.12
3.25,3.17
3.3,3.14
3.32,3.18
3.34,3.17
3.36,3.18
3.4,3.2
3.05,3.07
3.22,2.98
3.25,3.08
3.23,3.1
3.33,3.13
3.07,3.01
3.24,3.05
3.24,3.02
3.09,3
3.16,2.73
