,"Enroll, Female: Avg. SAT Math Score (Enrl F)","Enroll, Male: Avg. SAT Math Score (Enrl M)"
7,21.0,21.0
8,24.0,21.0
9,23.0,20.0
10,27.0,23.0
11,31.0,28.0
12,30.0,29.0
35,705.38,720.59
36,686.76,705.3
37,677.75,703.12
38,672.86,690.7
39,656.56,691.4
40,653.08,677.02
41,664.67,681.02
42,625.63,670.63
43,630.8,684.32
44,653.5,681.0
45,632.86,673.76
46,657.69,671.31
60,649.6,673.7
61,636.7,669.3
62,636.7,667.1
63,628.0,653.8
64,638.6,674.2
65,645.5,672.7
66,645.5,672.7
67,650.2,658.4
68,654.1,667.5
69,632.3,655.1
70,628.9,662.4
71,640.1,661.2
72,649.5,685.9
73,666.67,681.25
76,1296.0,1261.0
77,1253.0,1285.0
78,1200.0,1276.0
79,1204.0,1260.0
80,1250.0,1259.0
81,1220.0,1159.0
85,1095.0,1142.0
86,752.0,752.0
90,565.0,546.67
91,380.0,520.0
92,450.0,520.0
95,496.67,455.0
96,526.67,615.0
97,552.0,591.0
98,548.0,569.0
99,561.0,610.0
100,582.0,579.0
109,613.0,614.0
111,588.0,581.0
112,498.0,626.0
113,510.0,593.0
114,545.0,566.0
116,542.0,596.0
117,550.0,558.0
118,503.0,533.0
224,510.0,541.25
236,640.0,635.0
237,618.0,636.0
238,615.0,608.0
239,551.0,580.0
240,581.0,613.0
241,555.0,596.0
242,558.0,589.0
243,554.0,603.0
252,613.0,636.0
253,480.0,549.0
254,538.0,527.0
255,550.0,554.0
256,587.0,542.0
257,507.0,560.0
308,603.0,586.0
324,655.0,633.91
357,686.36,666.11
358,637.5,699.28
359,710.0,715.71
360,673.33,704.58
376,800.0,785.0
377,680.0,760.0
379,620.0,766.0
380,800.0,753.3330000000001
382,763.33,764.0
383,800.0,760.71
384,800.0,775.0
385,767.143,773.704
390,710.0,746.67
395,800.0,740.0
396,690.0,730.0
397,699.0,680.0
399,653.0,595.0
400,614.0,604.0
401,583.0,604.0
402,581.0,574.0
464,697.5,760.0
465,675.0,635.0
480,612.0,617.0
481,537.0,602.0
482,595.0,578.0
483,580.0,651.0
485,487.0,557.0
486,548.0,566.0
487,520.0,536.0
488,485.0,526.0
489,536.0,557.0
490,507.0,539.0
491,576.0,558.0
492,534.0,537.0
493,565.0,576.0
494,563.0,567.0
655,644.0,669.0
656,611.0,641.0
657,626.0,658.0
658,633.0,655.0
659,636.0,669.0
668,608.0,622.0
669,555.0,624.0
670,560.0,646.0
671,640.0,638.0
672,625.0,621.0
673,694.0,639.0
674,425.0,463.0
675,447.0,464.0
676,456.0,479.0
677,448.0,466.0
678,573.0,612.0
679,634.0,629.0
680,593.0,633.0
681,594.0,616.0
682,619.0,606.0
692,720.0,673.0
693,570.0,681.0
694,638.0,666.0
695,715.0,644.0
696,670.0,664.0
697,670.0,682.0
698,690.0,697.0
703,599.0,623.0
