School Year,"Enroll, Female: Average Age (Enrl F)"
2003,19.0
2003,19.0
2003,32.0
2003,21.5
2003,19.0
2003,20.0
2003,18.0
2003,19.0
2003,21.0
2004,25.0
2004,20.7
2004,23.0
2004,17.0
2004,18.0
2004,19.3
2004,17.0
2004,17.0
2004,19.4
2004,20.0
2004,18.0
2005,18.5
2005,18.0
2005,26.0
2005,19.0
2005,19.0
2005,18.1
2005,24.0
2005,19.0
2005,26.0
2005,18.1
2005,18.0
2005,18.4
2005,20.8
2005,19.0
2005,18.0
2005,22.0
2006,18.0
2006,18.8
2006,17.3
2006,18.4
2006,19.0
2006,16.0
2006,18.0
2006,18.0
2006,20.0
2006,19.0
2006,20.3
2006,18.8
2006,18.0
2006,19.0
2006,18.55
2006,18.2
2006,19.1
2006,19.0
2006,19.0
2006,29.0
2006,18.4
2006,19.0
2007,20.0
2007,22.0
2007,18.1
2007,19.0
2007,18.0
2007,18.0
2007,20.0
2007,18.0
2007,24.0
2007,18.8
2007,24.0
2007,18.0
2007,18.0
2007,18.28
2007,18.5
2007,19.0
2007,19.9
2007,18.0
2007,18.0
2007,20.0
2007,29.8
2007,20.0
2007,18.0
2007,19.0
2007,27.0
2008,18.0
2008,18.0
2008,29.0
2008,18.58
2008,19.0
2008,21.0
2008,17.0
2008,18.37
2008,19.0
2008,21.0
2008,19.0
2008,19.0
2008,19.0
2008,18.4
2008,20.0
2008,18.0
2008,18.17
2008,20.0
2008,20.0
2008,19.0
2008,18.3
2008,18.0
2008,19.0
2008,19.0
2008,18.7
2008,21.0
2008,19.0
2008,18.6
2008,18.5
2008,19.0
2008,18.5
2008,18.0
2008,20.0
2008,18.0
2008,18.4
2008,18.3
2008,19.0
2008,18.0
2008,20.0
2008,20.9
2009,18.0
2009,21.0
2009,18.1
2009,18.63
2009,18.8
2009,19.0
2009,21.0
2009,19.0
2009,18.0
2009,24.1
2009,22.0
2009,18.0
2009,18.3
2009,22.0
2009,18.0
2009,20.0
2009,18.0
2009,22.03
2009,19.0
2009,18.7
2009,18.57
2009,19.0
2009,18.2
2009,19.0
2009,18.7
2009,24.0
2009,18.6
2009,19.0
2009,19.3
2009,19.23
2009,18.0
2009,20.0
2009,23.0
2009,18.0
2009,18.1
2009,25.0
2009,18.0
2009,18.38
2009,18.5
2009,18.4
2009,18.0
2009,21.0
2009,19.0
2009,19.19
2009,18.4
2009,24.31
2009,26.0
2009,21.0
2009,23.8
2009,18.29
2010,18.8
2010,19.6
2010,18.6
2010,21.0
2010,23.0
2010,25.0
2010,20.0
2010,18.0
